,Location,Borough,Date Installed,lat,lng
518,Frederick Douglass Boulevard and West 156th Street,Manhattan,5/22/2017,45.857243,-111.3321
519,Gold Street and Beekman Street,Manhattan,9/20/2013,40.709671,-74.004832
520,Gold Street and Fulton Street,Manhattan,9/30/2013,40.709094,-74.00552
521,Gold Street and Spruce Street,Manhattan,9/20/2013,40.710172,-74.004267
522,Grand Street and Clinton Street,Manhattan,11/6/2020,40.715921,-73.986746
523,Grand Street and Lewis Street,Manhattan,6/3/2021,40.713981,-73.979978
524,Grand Street and Ridge Street,Manhattan,2/23/2016,40.715792,-73.986041
525,Greenwich Street and Barclay Street,Manhattan,10/29/2015,40.71537,-74.01656
526,Greenwich Street and Chambers Street,Manhattan,8/18/2020,40.71349,-74.00483
527,Greenwich Street and Cortlandt Way (mid-block),Manhattan,1/30/2019,38.538898,-117.072502
528,Greenwich Street and West 10th Street,Manhattan,1/9/2022,40.733588,-74.007332
529,La Guardia Place (West Broadway) and Washington Square South,Manhattan,3/23/2021,40.753259,-74.003804
530,Lafayette Street and Pedestrian crossing (Pearl Street),Manhattan,1/27/2017,40.715061,-74.003111
531,Lenox Avenue and West 126th Street,Manhattan,6/8/2022,40.808476,-73.94506
532,Lenox Avenue and West 128th Street,Manhattan,5/26/2022,40.809727,-73.944145
533,Lenox Avenue and West 134th Street,Manhattan,6/1/2021,40.81341,-73.941282
534,Lexington Avenue and 125th Street,Manhattan,9/23/2019,40.804387,-73.937423
535,Lexington Avenue and East 113th Street (Pedestrian Crossing),Manhattan,4/3/2018,39.190363,-96.549656
536,Lexington Avenue and East 114th Street (Pedestrian Crossing),Manhattan,4/3/2018,41.424641,-87.987464
537,Lexington Avenue and East 23rd Street,Manhattan,8/19/2018,40.739505,-73.984751
538,Lexington Avenue and East 25th Street,Manhattan,3/1/2017,40.740787,-73.983801
539,Lexington Avenue and East 42nd Street,Manhattan,9/12/2018,40.751455,-73.976074
540,Lexington Avenue and East 43rd Street,Manhattan,11/17/2018,40.752134,-73.975564
541,Lexington Avenue and East 52nd Street,Manhattan,6/26/2012,40.75774,-73.971439
542,Lexington Avenue and East 59th Street (Lighthouse),Manhattan,10/22/2004,40.762228,-73.968186
543,Madison Avenue and East 100th Street pedestrian crossing (mid-block),Manhattan,7/16/2018,39.190363,-96.549656
544,Madison Avenue and East 113th Street pedestrian crossing (mid-block),Manhattan,7/16/2018,41.424641,-87.987464
545,Madison Avenue and East 114th Street pedestrian crossing (mid-block),Manhattan,7/19/2018,39.190363,-96.549656
546,Madison Avenue and East 116th Street,Manhattan,2/17/2022,40.799985,-73.944834
547,Madison Avenue and East 133rd Street,Manhattan,5/16/2017,38.538898,-117.072502
548,Madison Avenue and East 134th Street,Manhattan,5/15/2017,41.424641,-87.987464
549,Madison Avenue and East 23rd Street,Manhattan,5/18/2018,40.740869,-73.987978
550,Madison Avenue and East 25th Street,Manhattan,11/12/2021,40.742144,-73.987034
551,Madison Street and 300' west of Jackson Street,Manhattan,9/12/2017,45.857243,-111.3321
552,Madison Street and Jefferson Street,Manhattan,6/20/2014,40.712768,-73.988505
553,Maiden Lane at Front Street,Manhattan,6/27/2014,40.70579,-74.005525
554,Malcolm X Boulevard (Lenox Avenue) and West 111th Street,Manhattan,10/19/2021,45.857243,-111.3321
555,Malcolm X Boulevard (Lenox Avenue) and West 145th Street,Manhattan,2/23/2017,45.857243,-111.3321
556,Murray Street and 270' West of West Street,Manhattan,1/27/2017,40.715266,-74.013537
557,Park Avenue  and East 113th Street pedestrian crossing (mid-block),Manhattan,7/19/2018,45.857243,-111.3321
558,Park Avenue and East 102nd Street,Manhattan,1/25/2022,40.790438,-73.949919
559,Park Avenue and East 132nd Street,Manhattan,1/28/2022,40.809556,-73.935943
560,Park Avenue and East 55th Street,Manhattan,5/2/2022,40.760351,-73.971808
561,Park Avenue and East 59th Street (Lighthouse),Manhattan,10/12/2004,40.76287,-73.969707
562,Park Avenue and East 81st Street,Manhattan,4/7/2021,40.776999,-73.959649
563,Park Avenue at East 115th Street,Manhattan,1/6/2020,40.798665,-73.943902
564,Park Avenue South and East 23rd Street,Manhattan,5/25/2018,40.74022,-73.986438
565,Pearl Street and Beekman Street,Manhattan,8/10/2019,40.708181,-74.003496
566,Pleasant Avenue and East 118th Street,Manhattan,8/8/2020,40.796365,-73.932212
567,Riverside Drive and 200’ North of West 181st Street (mid-block),Manhattan,12/3/2018,45.857243,-111.3321
568,Riverside Drive and West  94th Street,Manhattan,9/13/2017,40.794811,-73.976236
569,Riverside Drive and West 101st Street (mid-block),Manhattan,2/13/2019,40.799142,-73.972516
570,Riverside Drive and West 103rd Street ,Manhattan,12/4/2018,40.800321,-73.971409
571,Riverside Drive and West 106th Street ,Manhattan,12/4/2018,40.802271,-73.970055
572,Riverside Drive and West 112th Street (midblock crossing),Manhattan,5/17/2018,41.424641,-87.987464
573,Riverside Drive and West 138th Street,Manhattan,5/11/2017,38.538898,-117.072502
574,Riverside Drive and West 151st Street,Manhattan,5/11/2017,40.830958,-73.949466
575,Riverside Drive and West 163rd Street,Manhattan,5/12/2017,40.839214,-73.945541
576,Riverside Drive and West 95th Street ,Manhattan,12/1/2019,40.795527,-73.975951
577,Riverside Drive and West 99th Street (mid-block),Manhattan,2/13/2019,40.797838,-73.973473
578,Riverside Drive North Triangle (Tiemann Stairs),Manhattan,5/17/2018,40.753259,-74.003804
579,Riverside Drive Northbound and Grants Tomb 450' North of West 122nd Street,Manhattan,11/20/2019,38.37613,-81.751
580,Riverside Drive South Triangle (Tiemann Stairs),Manhattan,1/25/2018,38.538898,-117.072502
581,Riverside Drive Southbound and 450' North Of West 122nd Street,Manhattan,8/13/2019,39.190363,-96.549656
582,Second Avenue and East 42nd Street,Manhattan,3/10/2021,40.749821,-73.972216
583,Second Avenue and East 53rd Street,Manhattan,4/18/2022,40.756752,-73.967151
584,Second Avenue and East 72nd Street,Manhattan,11/4/2019,40.768795,-73.958352
585,Spruce Street and Nassau Street,Manhattan,3/20/2020,40.71169,-74.005859
586,St James Place and James Street,Manhattan,11/20/2013,40.712566,-73.998899
587,St Nicholas Avenue and Pedestrian Crossing between West 130th and West 133rd Streets,Manhattan,5/15/2017,41.424641,-87.987464
588,St Nicholas Avenue and West 125th Street,Manhattan,10/21/2016,40.810777,-73.952605
589,St Nicholas Avenue and West 156th Street,Manhattan,5/12/2017,40.831614,-73.941132
590,St Nicholas Avenue and West 177th Street,Manhattan,5/20/2022,40.846735,-73.935624
591,St Nicholas Avenue and West 183rd Street,Manhattan,6/24/2022,40.850514,-73.932854
592,Stone Street and Broad Street,Manhattan,4/6/2016,40.704031,-74.01158
593,Stone Street and Whitehall Street,Manhattan,6/7/2012,40.704064,-74.013221
594,Sutton Place and East 57th Street,Manhattan,9/1/2019,40.757362,-73.960674
595,Third Avenue and East 28th Street,Manhattan,8/5/2020,40.741971,-73.980857
596,Third Avenue and East 42nd Street ,Manhattan,11/20/2019,40.750771,-73.974466
597,Third Avenue and East 65th Street,Manhattan,10/21/2021,40.753259,-74.003804
598,Varick Street and West Houston Street,Manhattan,6/30/2021,40.728592,-74.005306
599,Vesey Street between North End Avenue and West Street,Manhattan,9/7/2017,41.424641,-87.987464
600,Washington Square South and Thompson Street,Manhattan,8/9/2015,40.730287,-73.998083
601,Washington Street and Gansevoort Street,Manhattan,6/28/2021,40.739392,-74.008049
602,Water Street and Fulton Street,Manhattan,10/6/2016,40.707445,-74.004061
603,West 100th Street and Manhatan Avenue,Manhattan,5/27/2022,40.794795,-73.964281
604,West 106th Street between Amsterdam Avenue and Columbus Avenue (mid-block),Manhattan,4/20/2022,38.538898,-117.072502
605,West 112th Street between Lenox Avenue and 5th Avenue (mid-block),Manhattan,2/13/2019,45.857243,-111.3321
606,West 125th Street and 12th Avenue,Manhattan,3/9/2022,40.817883,-73.960327
607,West 125th Street at 400’ east of Frederick Douglass Boulevard,Manhattan,10/31/2016,39.190363,-96.549656
608,West 125th Street at 400’ west of Lenox Avenue,Manhattan,10/28/2016,40.753259,-74.003804
609,West 125th Street at 450’ west of 5th Avenue,Manhattan,10/28/2016,45.857243,-111.3321
610,West 125th Street with St Clair Place and West 129th Street ,Manhattan,2/18/2022,41.424641,-87.987464
611,West 155th Street with Edgecomb Avenue and HRD / St Nicholas Place,Manhattan,12/30/2015,39.190363,-96.549656
612,West 157th Street with Edward Morgan Place and Broadway,Manhattan,2/11/2022,41.424641,-87.987464
613,West 23rd Street between 5th Avenue and 6th Avenue (Mid-block),Manhattan,7/25/2013,39.190363,-96.549656
614,West 34th Street between 7th and 8th Avenues,Manhattan,3/12/2016,40.753853,-73.997409
615,West 34th Street between 8th Avenue and 9th Avenue (mid-block),Manhattan,2/7/2012,45.857243,-111.3321
616,"West 34th Street between Broadway, 6th and 7th Avenues",Manhattan,5/7/2016,40.753853,-73.997409
617,West 3rd Street at Wooster Street (1 Washington Square Village),Manhattan,1/30/2020,40.753259,-74.003804
618,West 42nd Street between 5th Avenue and 6th Avenue,Manhattan,3/10/2016,38.538898,-117.072502
619,West 42nd Street between 7th Avenue and 8th Avenue,Manhattan,5/2/2016,38.538898,-117.072502
620,West 42nd Street between 8th Avenue and 9th Avenue,Manhattan,5/9/2016,39.190363,-96.549656
621,West 53rd Street between 5th and 6th Avenues,Manhattan,10/3/2016,40.764461,-73.985428
622,West 57th Street between 6th Avenue and 5th Avenue (300' East of 6th Avenue) (mid-block),Manhattan,2/14/2020,45.857243,-111.3321
623,West 57th Street between 6th Avenue and 7th Avenue (Mid-block),Manhattan,6/23/2013,38.538898,-117.072502
624,West 57th Street between 8th Avenue and 9th Avenue (Mid-block),Manhattan,7/25/2013,38.538898,-117.072502
625,West End Avenue and Pedestrian Crossing (120’ north of West 67th Street),Manhattan,9/11/2017,40.753259,-74.003804
626,West End Avenue and Pedestrian Crossing (West 69th Street),Manhattan,9/11/2017,45.857243,-111.3321
627,West End Avenue and West 63rd Street,Manhattan,6/4/2019,40.774127,-73.988656
628,West End Avenue and West 64th Street ,Manhattan,5/22/2019,40.774747,-73.988173
629,West End Avenue and West 65th Street,Manhattan,3/26/2019,40.775385,-73.987698
630,West End Avenue and West 70th Street,Manhattan,4/11/2022,40.778482,-73.985447
631,West End Avenue and West 79th Street,Manhattan,2/24/2020,40.784351,-73.981165
632,West End Avenue and West 95th Street,Manhattan,6/18/2021,40.794577,-73.973701
633,West End Avenue and West 97th Street ,Manhattan,9/10/2019,40.795923,-73.972725
634,West Street and Horatio Street (mid-block),Manhattan,3/20/2019,40.738743,-74.009604
635,York Avenue and East 62nd Street,Manhattan,7/22/2012,40.721062,-74.00585
636,York Avenue and East 68th Street,Manhattan,10/25/2019,40.7643,-73.955615
637,York Avenue with FDR Drive Entrance/Exit Ramps and East 63rd Street,Manhattan,9/1/2019,38.538898,-117.072502
638,101st Avenue and 104th Street,Queens,6/22/2022,40.686229,-73.839063
639,101st Avenue and 110th Street,Queens,3/31/2022,40.687815,-73.833567
640,101st Avenue and 81st Street,Queens,7/6/2020,40.680878,-73.857915
641,101st Avenue at 112th Street,Queens,6/9/2020,40.688294,-73.831863
642,103rd Avenue and 98th Street,Queens,4/14/2021,40.683028,-73.842366
643,107th Avenue at 120th Street,Queens,6/24/2020,40.684637,-73.82235
644,108th Street and 63rd Drive,Queens,11/14/2019,40.733604,-73.849952
645,108th Street and Van Doren Street,Queens,3/26/2019,40.740188,-73.853343
646,109th Avenue and 122nd Street,Queens,5/12/2021,40.683008,-73.81954
647,109th Avenue and 133rd Street,Queens,4/17/2020,40.68603,-73.810865
648,109th Avenue with 130th Street and 129th Street,Queens,12/16/2020,40.754506,-73.858737
649,110th Avenue and Sutphin Boulevard,Queens,8/15/2016,40.69002,-73.796815
650,111th Avenue with 126th Street and Hawtree Creek Road,Queens,4/6/2022,40.759776,-73.817302
651,111th Street and 46th Avenue,Queens,1/15/2021,40.74816,-73.854034
652,137th Avenue and 172nd Street,Queens,4/7/2017,40.672927,-73.768517
653,145th Avenue and Springfield Boulevard,Queens,6/6/2018,40.664705,-73.758528
654,147th Avenue and 184th Street,Queens,12/7/2021,40.659733,-73.763858
655,150th Street and 15th Drive,Queens,7/14/2017,40.785572,-73.813617
656,188th Street and 186th Lane,Queens,3/19/2021,40.736143,-73.784547
657,20th Avenue and Whitestone Expressway (NorthBound Service Road),Queens,11/29/2018,38.633598,-83.438904
658,20th Avenue and Whitestone Expressway (Southbound Service Road),Queens,11/29/2018,38.856899,-80.136902
659,212th Street between 18th Avenue and 23rd Avenue) (mid-block),Queens,2/20/2020,38.856899,-80.136902
660,21st Avenue and 24th Street,Queens,4/20/2022,40.776612,-73.921522
661,21st Street and 21st Road,Queens,4/21/2020,40.767327,-73.929861
662,21st Street and 30th Avenue,Queens,1/26/2022,40.76989,-73.927813
663,21st Street and 31st Avenue,Queens,10/11/2019,40.767327,-73.929861
664,21st Street and 31st Drive,Queens,10/1/2019,40.766064,-73.930886
665,21st Street and 31st Road,Queens,7/12/2019,40.766677,-73.930384
666,21st Street and 34th Avenue,Queens,3/5/2020,40.762823,-73.93397
667,21st Street and 38th Avenue,Queens,10/10/2019,40.757491,-73.939078
668,21st Street and 40th Avenue,Queens,10/20/2021,40.755233,-73.941244
669,21st Street and 41st Avenue,Queens,8/17/2019,40.75399,-73.94243
670,21st Street with Astoria Boulevard and 27th Avenue,Queens,1/20/2022,38.856899,-80.136902
671,223rd Street and 103rd Avenue,Queens,11/25/2020,40.711486,-73.731505
672,24th Avenue and 33rd Street,Queens,9/14/2021,40.771522,-73.914315
673,25th Avenue and 81st Street,Queens,8/26/2021,40.762954,-73.887666
674,27th Avenue and 8th Street (Goodwill Industries),Queens,8/8/2006,27.61637,-80.41385
675,30th Avenue and 30th Street,Queens,1/30/2019,40.767292,-73.922235
676,30th Avenue and 70th Street,Queens,2/17/2022,40.760045,-73.897559
677,31st Avenue and 100th Street,Queens,10/15/2020,40.760998,-73.869157
678,31st Avenue and 68th Street,Queens,6/16/2022,40.757845,-73.899213
679,31st Avenue and 97th Street,Queens,11/24/2021,40.760694,-73.872067
680,31st Road and 138th Street,Queens,4/25/2020,40.770229,-73.830532
681,32nd Avenue and 55th Street,Queens,9/7/2021,40.755525,-73.906181
682,32nd Avenue with 93rd Street and Jackson Mill Road,Queens,5/14/2020,44.288555,-64.930618
683,35th Avenue with 70th Street and Leverich Street,Queens,5/7/2020,40.726615,-73.892422
684,36th Avenue and 13th Street,Queens,10/14/2020,40.760519,-73.938353
685,36th Avenue and 14th Street,Queens,3/31/2021,40.760203,-73.937484
686,36th Avenue and 23rd Street,Queens,11/21/2013,40.759078,-73.935068
687,37th Avenue and  78th Street,Queens,5/23/2018,40.74936,-73.888023
688,37th Avenue and 102nd Street,Queens,4/29/2022,40.752992,-73.865414
689,37th Avenue and 90th Street,Queens,6/28/2022,40.750525,-73.876877
690,38th Avenue and 28th Street,Queens,10/1/2021,40.755011,-73.934331
691,38th Avenue and 30th Street ,Queens,3/19/2020,40.754191,-73.932788
692,39th Avenue and 52nd Street,Queens,11/10/2021,40.748685,-73.911674
693,43rd Avenue at 97th Place,Queens,1/2/2020,40.746097,-73.866416
694,44th Drive and Hunter Street,Queens,3/9/2019,40.747455,-73.943784
695,45th Avenue and Union Street,Queens,10/28/2019,40.752935,-73.81978
696,47th Avenue and 33rd Street,Queens,3/18/2022,40.742645,-73.932103
697,47th Avenue and 35th Street,Queens,1/16/2022,40.742437,-73.930217
698,47th Street and 48th Avenue,Queens,3/20/2018,40.739202,-73.91853
699,48th Avenue and 211th Street,Queens,11/17/2019,40.754997,-73.770128
700,48th Avenue and 32nd Place,Queens,4/22/2022,40.740913,-73.933381
701,64th Avenue (East Leg) and 188th Street,Queens,8/18/2021,40.73925,-73.785608
702,64th Avenue (North Leg) and 188th Street,Queens,8/18/2021,40.73925,-73.785608
703,64th Avenue (South Leg) and 188th Street,Queens,8/10/2021,40.73925,-73.785608
704,64th Avenue (West Leg) and 188th Street,Queens,8/9/2021,40.73925,-73.785608
705,64th Avenue and 175th Street,Queens,4/15/2022,40.737998,-73.793984
706,69th Street and 49th Avenue,Queens,10/23/2020,40.737651,-73.895929
707,71st Avenue and Juno Street,Queens,12/4/2020,40.713953,-73.848717
708,80th Street and 68th Road,Queens,2/18/2022,40.710573,-73.870631
709,8th Street and Astoria Boulevard,Queens,8/19/2021,40.772715,-73.932679
710,92nd Street between 57th Avenue and 59th Avenue (mid-block),Queens,12/7/2020,44.288555,-64.930618
711,Archer Avenue and Parsons Boulevard,Queens,2/16/2017,40.702448,-73.79992
712,Astoria Boulevard (South) and 43rd Street,Queens,4/25/2022,40.768373,-73.908052
713,Astoria Boulevard and 38th Street,Queens,1/22/2022,40.769599,-73.911292
714,Astoria Boulevard and 94th Street,Queens,3/22/2022,40.762921,-73.875303
715,Atlantic Avenue and 102nd Street,Queens,6/15/2022,40.689946,-73.842852
716,Atlantic Avenue and 108th Street,Queens,6/17/2022,40.691435,-73.837575
717,Atlantic Avenue and 118th Street,Queens,3/21/2022,40.693913,-73.828908
718,Atlantic Avenue and 84th Street,Queens,11/21/2018,40.685797,-73.857412
719,Atlantic Avenue at 87th Street ,Queens,9/25/2020,40.686364,-73.854801
720,Austin Street and 69th Road,Queens,5/20/2022,40.721356,-73.848067
721,Austin Street and 70th Street,Queens,5/2/2020,40.720948,-73.846954
722,Austin Street with 71st Avenue and Continental Avenue,Queens,4/3/2017,40.759776,-73.817302
723,Beach 102nd Street and Rockaway Beach Blvd West Leg,Queens,9/22/2017,40.583831,-73.823009
724,Bell Boulevard and 47th Avenue,Queens,10/27/2021,40.756909,-73.767677
725,Booth Memorial Avenue and 160th Road,Queens,12/7/2019,40.742011,-73.808245
726,Borden Avenue and 25th Street,Queens,4/1/2021,40.739558,-73.945308
727,Bowne Street and Cherry Avenue,Queens,5/12/2022,40.755515,-73.8203
728,Broadway and Corona Avenue,Queens,5/6/2022,40.7394,-73.877906
729,Broadway and St James Avenue,Queens,2/22/2022,40.739937,-73.878485
730,Broadway between 49th Street and 51st Street (mid-block),Queens,3/16/2021,38.856899,-80.136902
731,Brookville Boulevard and 137th Road,Queens,3/24/2022,40.669253,-73.736387
732,Brookville Boulevard and Newhall Avenue,Queens,4/27/2022,40.659701,-73.74355
733,Clintonville Street and Locke Avenue,Queens,8/1/2014,40.784681,-73.809106
734,College Point Boulevard and Pople Avenue,Queens,10/19/2020,40.753025,-73.832542
735,Cooper Avenue and 64th Place,Queens,5/13/2022,40.698137,-73.891132
736,Corona Avenue and 94th Street,Queens,5/20/2016,40.742353,-73.869928
737,Corona Avenue with 108th Street and 53rd Avenue,Queens,6/19/2019,38.633598,-83.438904
738,Corona Avenue with 50th Avenue and 106th Street,Queens,2/18/2021,38.856899,-80.136902
739,Corona Avenue with Otis Avenue and 54th Avenue,Queens,6/24/2022,38.633598,-83.438904
740,Crescent Street and 30th Road,Queens,3/24/2020,40.767877,-73.925439
741,Cross Bay Boulevard and East 1st Road,Queens,1/14/2021,40.614901,-73.821555
742,Cross Bay Boulevard at Pitkin Avenue,Queens,1/5/2020,40.672173,-73.843091
743,Dry Harbor Road and Juniper Boulevard South,Queens,4/2/2021,40.720517,-73.873603
744,Dunkirk Street and Wood Street,Queens,5/5/2021,40.699494,-73.771618
745,Eliot Avenue and 72nd Street,Queens,12/7/2016,40.721647,-73.886439
746,Empire Avenue with Reads Lane and Balsam Court,Queens,10/22/2020,44.288555,-64.930618
747,Forest Avenue and Stephen Street,Queens,8/11/2021,40.700067,-73.899508
748,Francis Lewis Boulevard and 35th Avenue,Queens,7/16/2014,40.764227,-73.787967
749,Francis Lewis Boulevard and 46th Avenue,Queens,7/16/2020,40.754687,-73.781713
750,Fresh Pond Road and 60th Road,Queens,9/23/2021,40.716165,-73.90159
751,Grand Avenue and 47th Street,Queens,6/25/2021,40.716805,-73.921557
752,Grand Avenue and 74th Street,Queens,10/15/2020,40.730094,-73.88805
753,Grand Avenue with Haspel Street and Van Kleeck Street,Queens,5/6/2022,40.759776,-73.817302
754,Grand Central Parkway and 267th Street,Queens,3/15/2021,40.759776,-73.817302
755,Grand Central Parkway and 62nd Drive,Queens,4/28/2020,40.737103,-73.846073
756,Grand Central Parkway E/B SR with McLaughlin Avenue and 188th Street,Queens,12/15/2021,38.633598,-83.438904
757,Greenpoint Avenue with 48th Avenue and 41st Street,Queens,6/29/2022,38.633598,-83.438904
758,Guy R Brewer Boulevard and 150th Avenue,Queens,5/24/2021,40.657067,-73.767456
759,Guy R Brewer Boulevard and JHS 72 (mid-block),Queens,8/24/2020,40.703951,-73.796548
760,Harper Street and Marina Road,Queens,5/10/2018,44.288555,-64.930618
761,Hempstead Avenue and 218th Street,Queens,6/4/2021,40.713977,-73.73809
762,Hempstead Avenue and 221st Street,Queens,10/7/2016,40.712533,-73.73289
763,Hillside Avenue and 143rd Street,Queens,1/31/2022,40.704935,-73.812797
764,Hillside Avenue and 153rd Street,Queens,1/24/2022,40.707191,-73.804492
765,Hillside Avenue and 161st Street,Queens,1/20/2022,40.708162,-73.801059
766,Hillside Avenue and 164th Street East Leg,Queens,10/28/2020,40.708853,-73.799
767,Hillside Avenue and 175th Street ,Queens,8/9/2019,40.711771,-73.787832
768,Hillside Avenue and 178th Street/Edgerton Boulevard,Queens,2/8/2017,38.856899,-80.136902
769,Hillside Avenue and 183rd Street,Queens,5/19/2021,40.713885,-73.778893
770,Hillside Avenue and 199th Street,Queens,2/6/2017,40.719237,-73.763564
771,Hillside Avenue and 205th Street,Queens,1/5/2022,40.72066,-73.760298
772,Hillside Avenue and 233rd Street,Queens,11/6/2020,40.733429,-73.737084
773,Hillside Avenue and 256th Street,Queens,8/2/2011,44.039577,-64.731819
774,Hillside Avenue and 267th Street,Queens,2/4/2021,44.039577,-64.731819
775,Hillside Avenue and Cross Island YMCA (170' West of 239th Street) (mid-block),Queens,5/26/2020,39.390897,-99.066067
776,Hillside Avenue and Springfield Boulevard,Queens,1/7/2022,40.729856,-73.744733
777,Hillside Avenue with 187th Street and Chelsea Street,Queens,10/6/2021,40.716969,-73.777615
778,Hillside Avenue with Babbage Street and 118th Street ,Queens,2/16/2021,40.702683,-73.836834
779,Hillside Avenue with Merrick Boulevard and 166th Street,Queens,12/2/2016,38.856899,-80.136902
780,Hobart Street and 30th Avenue ,Queens,12/18/2019,40.759837,-73.906332
781,Hollis Avenue and 190th Street,Queens,2/27/2020,40.709812,-73.768741
782,Hollis Court Boulevard with 189th Street and 46th Road,Queens,6/16/2021,38.633598,-83.438904
783,Horace Harding Expressway Eastbound and Cloverdale Boulevard ,Queens,12/10/2019,40.750318,-73.751147
784,Horace Harding Expressway Service Road North and 92nd Street ,Queens,12/7/2019,38.856899,-80.136902
785,Horace Harding Expressway Westbound and Fresh Meadow Lane ,Queens,12/10/2019,40.738082,-73.795789
786,Horace Harding Expressway Westbound Service Road and Cloverdale Boulevard ,Queens,12/10/2019,44.288555,-64.930618
787,Horace Harding Expressway Westbound Service Road at Corona Avenue,Queens,1/10/2020,44.288555,-64.930618
788,Horace Harding Parkway Service Road Eastbound at Grand Central Parkway Service Road West,Queens,1/10/2020,38.856899,-80.136902
789,Hunters Point Avenue and 31st Place,Queens,6/25/2022,40.740071,-73.935443
790,Hunters Point Avenue and 32nd Place,Queens,12/22/2020,40.739276,-73.933731
791,Jackson Avenue and 21st Street ,Queens,6/30/2019,40.744684,-73.948508
792,Jamaica Avenue and 175th Street,Queens,7/8/2019,40.707996,-73.785656
793,Jamaica Avenue and 189th Stret,Queens,3/24/2020,40.716375,-73.744007
794,Jamaica Avenue and 190th Street,Queens,11/6/2019,40.711832,-73.769651
795,Jamaica Avenue and 196th Street,Queens,10/30/2015,40.71336,-73.764017
796,Jamaica Avenue and 207th Street,Queens,8/12/2019,40.714142,-73.75311
797,Jamaica Avenue and 222nd Street,Queens,10/2/2019,40.720325,-73.732393
798,Jamaica Avenue and 224th Street,Queens,2/3/2020,40.72156,-73.730994
799,Jamaica Avenue and Springfield Boulevard,Queens,10/11/2016,40.718561,-73.735276
800,Jamaica Avenue at 181st Street,Queens,6/8/2020,40.708642,-73.779704
801,Jamaica Avenue with 143rd Street and 144th Street ,Queens,8/26/2019,38.856899,-80.136902
802,Jamaica Avenue with Woodhull Avenue and 188th Street,Queens,11/13/2019,40.759776,-73.817302
803,Juniper Boulevard South and 74th Street,Queens,2/8/2022,40.71831,-73.882633
804,Kissena Boulevard and Elder Avenue,Queens,11/29/2016,40.753173,-73.821943
805,Kissena Boulevard and Sanford Avenue,Queens,11/28/2016,40.757144,-73.827093
806,Laurelton Parkway and 133rd Avenue,Queens,1/10/2022,40.675457,-73.733877
807,Liberty Avenue and 102nd Street,Queens,6/30/2021,40.681449,-73.838656
808,Liberty Avenue and 127th Street ,Queens,7/23/2021,40.688782,-73.817635
809,Liberty Avenue and 80th Street S/B,Queens,6/14/2021,40.679451,-73.857792
810,Liberty Avenue at 148th Street,Queens,6/1/2020,40.697017,-73.803613
811,Linden Boulevard and 115th Street,Queens,7/15/2021,40.677799,-73.823841
812,Linden Boulevard and 118th Street,Queens,4/28/2022,40.678504,-73.821366
813,Linden Boulevard and 128th Street,Queens,1/7/2021,40.681005,-73.812574
814,Linden Boulevard with Lincoln Street and 134th Street,Queens,2/7/2022,44.288555,-64.930618
815,Little Neck Parkway and 254th Street,Queens,2/18/2022,40.754541,-73.723199
816,Little Neck Parkway and 86th Avenue,Queens,8/2/2011,40.732487,-73.711548
817,Long Island Expressway North Service Road at 99th Street,Queens,1/13/2020,44.288555,-64.930618
818,Main Street and 41st Road,Queens,12/5/2016,40.757506,-73.829165
819,Main Street and 58th Road,Queens,12/3/2020,40.744578,-73.825811
820,Main Street and Northern Boulevard,Queens,11/23/2016,40.762823,-73.831888
821,Main Street and Pedestrian Crossing between 63rd Avenue & Gravett Road (mid-block),Queens,2/25/2019,40.759776,-73.817302
822,Marathon Parkway and 57th Avenue,Queens,5/2/2012,40.759625,-73.731389
823,Maurice Avenue and 66th Street,Queens,5/16/2020,40.735147,-73.899017
824,Maurice Avenue and 68th Street,Queens,2/24/2021,40.735087,-73.896922
825,Merrick Boulevard and 108th Avenue,Queens,7/26/2021,40.698335,-73.787054
826,Merrick Boulevard and 109th Avenue,Queens,10/14/2020,40.697001,-73.784208
827,Merrick Boulevard and 231st Street,Queens,9/26/2014,40.675545,-73.738603
828,Metropolitan Avenue and 55th Street,Queens,6/30/2021,40.713012,-73.908009
829,Metropolitan Avenue and Aubrey Avenue,Queens,11/1/2021,40.712011,-73.860843
830,Myrtle Avenue and 82nd Street,Queens,10/30/2015,40.703116,-73.866525
831,North Conduit Avenue and 230th Place,Queens,7/16/2021,40.666409,-73.745395
832,Northern Boulevard and 103rd Street,Queens,8/7/2019,40.757583,-73.86567
833,Northern Boulevard and 110th Street ,Queens,5/14/2019,40.757906,-73.859936
834,Northern Boulevard and 112th Street,Queens,11/6/2018,40.758052,-73.85779
835,Northern Boulevard and 157th Street,Queens,2/9/2021,40.763752,-73.808239
836,Northern Boulevard and 196th Street,Queens,1/13/2021,40.757904,-73.785661
837,Northern Boulevard and 220th Place,Queens,12/20/2021,40.761592,-73.761105
838,Northern Boulevard and 33rd Street,Queens,2/17/2017,40.752043,-73.931245
839,Northern Boulevard and 61st Street,Queens,4/3/2020,40.753953,-73.901234
840,Northern Boulevard and 78th Street,Queens,3/23/2020,40.755126,-73.889085
841,Northern Boulevard and 89th Street,Queens,8/5/2019,40.756188,-73.878844
842,Northern Boulevard and 90th Street               ,Queens,4/25/2018,40.756279,-73.877914
843,Northern Boulevard and 99th Street,Queens,8/10/2020,40.757177,-73.869494
844,Northern Boulevard and Alley Pond Environmental Center (750’ East of Cross Island NB),Queens,8/30/2018,35.21312,-80.72556
